:START_ID(Journal)	year	:END_ID(Volume)
IEEE Trans. Circuits Syst. Video Techn.	2015	IEEE Trans. Circuits Syst. Video Techn.|25
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|267
Sensors	2016	Sensors|16
IEEE Trans. on CAD of Integrated Circuits and Systems	2015	IEEE Trans. on CAD of Integrated Circuits and Systems|34
IEEE Trans. Information Forensics and Security	2015	IEEE Trans. Information Forensics and Security|10
IEEE Signal Process. Lett.	2015	IEEE Signal Process. Lett.|22
IEEE Trans. Network and Service Management	2015	IEEE Trans. Network and Service Management|12
Sensors	2018	Sensors|18
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|256
IEEE Consumer Electronics Magazine	2015	IEEE Consumer Electronics Magazine|4
IEEE Trans. Human-Machine Systems	2015	IEEE Trans. Human-Machine Systems|45
IEEE Trans. Comput. Social Systems	2015	IEEE Trans. Comput. Social Systems|2
Appl. Algebra Eng. Commun. Comput.	2018	Appl. Algebra Eng. Commun. Comput.|29
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|252
IET Communications	2015	IET Communications|9
IEEE Trans. Cogn. Comm. &amp; Networking	2015	IEEE Trans. Cogn. Comm. &amp; Networking|1
IEEE Access	2019	IEEE Access|7
IEEE Trans. Emerging Topics Comput.	2015	IEEE Trans. Emerging Topics Comput.|3
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|251
Sensors	2017	Sensors|17
IEEE Trans. Industrial Electronics	2015	IEEE Trans. Industrial Electronics|62
IEEE Trans. Computers	2015	IEEE Trans. Computers|64
IEEE Trans. Image Processing	2015	IEEE Trans. Image Processing|24
IEEE Trans. on Circuits and Systems	2015	IEEE Trans. on Circuits and Systems|62-II
Sensors	2015	Sensors|15
IEEE/ACM Trans. Netw.	2015	IEEE/ACM Trans. Netw.|23
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|265
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|257
IEEE Journal on Selected Areas in Communications	2015	IEEE Journal on Selected Areas in Communications|33
IEEE Pervasive Computing	2015	IEEE Pervasive Computing|14
IEEE Trans. Multi-Scale Computing Systems	2015	IEEE Trans. Multi-Scale Computing Systems|1
IEEE Trans. Knowl. Data Eng.	2015	IEEE Trans. Knowl. Data Eng.|27
J. Network and Computer Applications	2015	J. Network and Computer Applications|50
Comput. J.	2015	Comput. J.|58
Wireless Networks	2015	Wireless Networks|21
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|260
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|253
IEEE Trans. Intelligent Transportation Systems	2015	IEEE Trans. Intelligent Transportation Systems|16
IEEE Trans. Automation Science and Engineering	2015	IEEE Trans. Automation Science and Engineering|12
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|259
IEEE Trans. Multimedia	2015	IEEE Trans. Multimedia|17
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|269
IEEE Trans. VLSI Syst.	2015	IEEE Trans. VLSI Syst.|23
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|250
IEEE Trans. Industrial Electronics	2017	IEEE Trans. Industrial Electronics|64
IEEE/ACM Trans. Comput. Biology Bioinform.	2015	IEEE/ACM Trans. Comput. Biology Bioinform.|12
IEEE Systems Journal	2015	IEEE Systems Journal|9
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|264
IEEE Trans. Dependable Sec. Comput.	2015	IEEE Trans. Dependable Sec. Comput.|12
IEEE Trans. Parallel Distrib. Syst.	2015	IEEE Trans. Parallel Distrib. Syst.|26
IEEE Access	2016	IEEE Access|4
IEEE Cloud Computing	2015	IEEE Cloud Computing|2
Appl. Algebra Eng. Commun. Comput.	2016	Appl. Algebra Eng. Commun. Comput.|27
IEEE Trans. Vehicular Technology	2015	IEEE Trans. Vehicular Technology|64
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|270
IEEE Access	2015	IEEE Access|3
IEEE Wireless Commun. Letters	2015	IEEE Wireless Commun. Letters|4
IEEE Communications Magazine	2015	IEEE Communications Magazine|53
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|258
IEEE Internet Computing	2015	IEEE Internet Computing|19
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|262
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|255
IEEE Trans. Wireless Communications	2015	IEEE Trans. Wireless Communications|14
IEEE Trans. Aerospace and Electronic Systems	2015	IEEE Trans. Aerospace and Electronic Systems|51
IEEE Access	2017	IEEE Access|5
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|263
IEEE Trans. Industrial Electronics	2016	IEEE Trans. Industrial Electronics|63
IEEE Trans. Mob. Comput.	2015	IEEE Trans. Mob. Comput.|14
IEEE Communications Letters	2015	IEEE Communications Letters|19
IEEE Communications Surveys and Tutorials	2015	IEEE Communications Surveys and Tutorials|17
IEEE Network	2015	IEEE Network|29
IEEE Trans. Industrial Informatics	2015	IEEE Trans. Industrial Informatics|11
IEEE Trans. Communications	2015	IEEE Trans. Communications|63
IEEE Trans. Consumer Electronics	2015	IEEE Trans. Consumer Electronics|61
IET Information Security	2015	IET Information Security|9
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|271
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|254
IEEE Internet of Things Journal	2015	IEEE Internet of Things Journal|2
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|261
IEEE Access	2018	IEEE Access|6
IEEE Computer	2015	IEEE Computer|48
IEEE Trans. Med. Imaging	2015	IEEE Trans. Med. Imaging|34
IEEE Signal Process. Mag.	2015	IEEE Signal Process. Mag.|32
Appl. Algebra Eng. Commun. Comput.	2019	Appl. Algebra Eng. Commun. Comput.|30
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|266
IEEE Wireless Commun.	2015	IEEE Wireless Commun.|22
IEEE Trans. Services Computing	2015	IEEE Trans. Services Computing|8
Appl. Algebra Eng. Commun. Comput.	2017	Appl. Algebra Eng. Commun. Comput.|28
Wireless Communications and Mobile Computing	2015	Wireless Communications and Mobile Computing|15
IEEE Trans. Industrial Electronics	2018	IEEE Trans. Industrial Electronics|65
IEEE Trans. Systems, Man, and Cybernetics - Systems	2015	IEEE Trans. Systems, Man, and Cybernetics - Systems|45
IEEE Trans. Signal Processing	2015	IEEE Trans. Signal Processing|63
IEEE Trans. Information Theory	2015	IEEE Trans. Information Theory|61
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|268
